codeType;txtName;codeLgt;txtDescrMarking;geoLat;geoLong;valElev;valGeoAccuracy;valHgt;codeHgtAccuracy;uomDistVer;valRadius;valRadiusAccuracy;uomRadius;codeGroupId;txtGroupName;locGroupMemberId;locLinkedToGroupMemberId;codeLinkType;datetimeValidWef;datetimeValidTil;txtRmk;source;defaultHeightFlag;codeMarking
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8069444444444;17.0647222222222;304;0;186;0;M;0;0;M;65;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8036111111111;17.0608333333333;304;0;186;0;M;0;0;M;66;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8030555555556;17.0547222222222;304;0;186;0;M;0;0;M;67;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.7986111111111;17.0522222222222;302;0;186;0;M;0;0;M;68;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.7980555555556;17.0427777777778;304;0;186;0;M;0;0;M;69;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.7961111111111;17.0377777777778;304;0;186;0;M;0;0;M;70;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.7952777777778;17.0488888888889;301;0;186;0;M;0;0;M;71;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.7919444444444;17.0422222222222;267;0;150;0;M;0;0;M;72;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8183333333333;17.0177777777778;306;0;186;0;M;0;0;M;73;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8197222222222;17.0236111111111;307;0;186;0;M;0;0;M;74;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8213888888889;17.0291666666667;305;0;186;0;M;0;0;M;75;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8230555555556;17.0347222222222;307;0;186;0;M;0;0;M;76;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8144444444444;17.0205555555556;305;0;186;0;M;0;0;M;77;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8158333333333;17.0261111111111;306;0;186;0;M;0;0;M;78;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8175;17.0313888888889;308;0;186;0;M;0;0;M;79;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8188888888889;17.0375;306;0;186;0;M;0;0;M;80;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8333333333333;17.0202777777778;308;0;186;0;M;0;0;M;81;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.835;17.0258333333333;311;0;186;0;M;0;0;M;82;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8225;16.9991666666667;306;0;186;0;M;0;0;M;83;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8241666666667;17.005;307;0;186;0;M;0;0;M;84;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8263888888889;17.0127777777778;307;0;186;0;M;0;0;M;85;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8280555555556;17.0188888888889;308;0;186;0;M;0;0;M;86;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8294444444444;17.0244444444444;307;0;186;0;M;0;0;M;87;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8311111111111;17.03;307;0;186;0;M;0;0;M;88;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8191666666667;17.0041666666667;306;0;186;0;M;0;0;M;89;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8208333333333;17.01;307;0;186;0;M;0;0;M;90;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8222222222222;17.0155555555556;307;0;186;0;M;0;0;M;91;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8238888888889;17.0211111111111;307;0;186;0;M;0;0;M;92;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8252777777778;17.0266666666667;307;0;186;0;M;0;0;M;93;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8269444444445;17.0325;309;0;186;0;M;0;0;M;94;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.855;17.0102777777778;310;0;186;0;M;0;0;M;95;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8533333333333;17.0175;310;0;186;0;M;0;0;M;96;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8502777777778;17.0244444444444;309;0;186;0;M;0;0;M;97;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8466666666667;17.0302777777778;309;0;186;0;M;0;0;M;98;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8441666666667;17.0372222222222;309;0;186;0;M;0;0;M;99;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8525;17.0061111111111;310;0;186;0;M;0;0;M;100;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8502777777778;17.0147222222222;309;0;186;0;M;0;0;M;101;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8469444444444;17.0197222222222;309;0;186;0;M;0;0;M;102;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8436111111111;17.0266666666667;307;0;186;0;M;0;0;M;103;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8405555555556;17.0325;310;0;186;0;M;0;0;M;104;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8388888888889;17.0394444444444;308;0;186;0;M;0;0;M;105;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8369444444444;17.0461111111111;307;0;186;0;M;0;0;M;106;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
